40,Starbucks,Coffee Shop,4233 SW Alaska St.,,47.561318,-122.385114,"[{'label': 'display', 'lat': 47.561318, 'lng': -122.385114}]",2610,98116,US,Seattle,WA,United States,"['4233 SW Alaska St.', 'Seattle, WA 98116', 'United States']",566f019d498eb49eff1fc285,test
41,Bird on a Wire Espresso,Coffee Shop,3509 SW Henderson St,35th Ave Sw,47.52287764332267,-122.3770213848345,"[{'label': 'display', 'lat': 47.52287764332267, 'lng': -122.3770213848345}]",1733,98126,US,Seattle,WA,United States,"['3509 SW Henderson St (35th Ave Sw)', 'Seattle, WA 98126', 'United States']",4b253c4ef964a520786e24e3,test
42,Starbucks,Coffee Shop,4115 4th Ave S,,47.56665042,-122.3298323,"[{'label': 'display', 'lat': 47.56665042, 'lng': -122.3298323}]",4755,98134,US,Seattle,WA,United States,"['4115 4th Ave S', 'Seattle, WA 98134', 'United States']",49e7b460f964a5200b651fe3,test
43,Revolution Coffee,Coffee Shop,4217 SW Admiral Way,,47.581176,-122.385697,"[{'label': 'display', 'lat': 47.581176, 'lng': -122.385697}]",4796,98116,US,Seattle,WA,United States,"['4217 SW Admiral Way', 'Seattle, WA 98116', 'United States']",4f325a8719836c91c7cf7597,test
44,Blue Tiger Coffee,Corporate Coffee Shop,1600 S 92nd Pl Ste C,,47.521303,-122.311297,"[{'label': 'display', 'lat': 47.521303, 'lng': -122.311297}]",5321,98108,US,Seattle,WA,United States,"['1600 S 92nd Pl Ste C', 'Seattle, WA 98108', 'United States']",598e357a16ef6706691df0d3,test
45,Starbucks,Coffee Shop,2742 Alki Ave SW,,47.57883826,-122.411199,"[{'label': 'display', 'lat': 47.57883826, 'lng': -122.411199}]",5163,98116,US,Seattle,WA,United States,"['2742 Alki Ave SW', 'Seattle, WA 98116', 'United States']",49f2b061f964a5205e6a1fe3,test
46,Side Hustle Coffee & Donuts,Donut Shop,6235 Airport Way S,,47.547743,-122.3148,"[{'label': 'display', 'lat': 47.547743, 'lng': -122.3148}]",4815,98108,US,Seattle,WA,United States,"['6235 Airport Way S', 'Seattle, WA 98108', 'United States']",5a64ceec9deb7d1b748a9c5e,test
47,"Origins of Coffee - Juraszek Concrete Construction, Inc.",Historic Site,SODO building 1st Ave S.,,47.58149251,-122.33464425,"[{'label': 'display', 'lat': 47.58149251, 'lng': -122.33464425}]",5767,98134,US,Seattle,WA,United States,"['SODO building 1st Ave S.', 'Seattle, WA 98134', 'United States']",4e0e599ab0fb59de67d5efa6,test
48,Moondrop Coffee & Tea,Coffee Shop,1619 Harbor Ave SW,,47.589157638949864,-122.38136261701584,"[{'label': 'display', 'lat': 47.589157638949864, 'lng': -122.38136261701584}]",5652,98126,US,Seattle,WA,United States,"['1619 Harbor Ave SW', 'Seattle, WA 98126', 'United States']",54befbfe498ecdc96883ceb3,test
49,Blenders Coffee House and Boba,Food,4886 Beacon Ave S,,47.558533000000004,-122.303545,"[{'label': 'display', 'lat': 47.558533000000004, 'lng': -122.303545}]",5981,98108,US,Seattle,WA,United States,"['4886 Beacon Ave S', 'Seattle, WA 98108', 'United States']",4f322a6019836c91c7bc9d7d,test
